Original,Translated
這,This
來,Come
國,country
個,One
箇,箇
說,Say
們,They
為,for
時,Time
會,meeting
著,The
過,Over
對,Correct
沒,No
還,also
祇,Moth
無,no
開,open
見,You see
經,through
頭,head
從,From
動,move
兩,Two
長,long
樣,kind
現,Now
將,will
與,versus
進,Enter
實,real
點,point
種,Species
聲,sound
話,words
兒,child
問,ask
機,machine
給,give
業,industry
間,between
甚,very
電,Electricity
門,door
東,east
聽,listen
氣,gas
關,turn off
內,Inside
卻,but
軍,military
產,Production
萬,Million
體,body
別,Another
彆,do not
處,At
總,total
纔,only
場,field
師,division
書,book
員,member
華,China
報,Newspaper
馬,horse
張,Zhang
難,difficult
數,number
車,car
應,should
計,meter
親,Dear
務,Business
記,Remember
邊,side
風,wind
戰,war
許,Xu
覺,feel
題,question
統,System
請,please
愛,Love
讓,Let
認,recognize
論,s
佰,佰
義,Righteousness
術,Operation
結,Knot
連,even
遠,far
資,Capital
隊,team
帶,band
條,article
變,change
聯,Union
權,right
該,The
領,collar
傳,pass
紅,red
決,Decision
達,Da
辦,do
運,Transport
強,Strong
彊,Moth
區,Area
轉,turn
眾,Public
輕,light
語,language
滿,full
寫,write
識,knowledge
極,pole
黃,yellow
臉,face
錢,money
黨,party
設,Assume
雙,double
仟,thousand
廣,wide
議,Discussion
際,When
則,then
單,single
據,according to
導,guide
網,network
專,Special
耑,耑
誰,Who
讀,read
飛,fly
觀,View
爭,Struggle
組,group
視,Vision
濟,Ji
離,from
雖,although
編,Hen
寶,treasure
談,talk
隨,With
劍,sword
講,speak
殺,kill
調,Tune
團,group
終,end
樂,fun
級,level
舉,Lift
證,certificate
証,Proof
費,fee
爾,Seoul
熱,heat
響,ring
稱,Weigh
興,Xing
約,approximately
陽,Yang
驚,shock
嗎,What?
漢,Chinese
號,number
絕,Absolutely
選,selected
參,Reference
亞,Asian
傷,hurt
類,class
備,Prepare
歡,Happy
勢,Potential
斷,Broken
陳,Chen
農,Farm
唸,Read
腦,brain
規,regulation
媽,mom
剛,just
顯,Display
陸,land
確,Indeed
澤,Ze
緊,tight
幫,help
線,line
願,willing
楊,Yang
節,Festival
裝,Loading
歲,year old
嚴,strict
鐵,iron
聞,smell
紀,discipline
腳,foot
蘇,Su
標,Standard
飯,rice
醫,medical
況,condition
軟,soft
擊,hit
僅,only
續,Continued
獨,alone
羅,Luo
買,buy
戶,Household
護,Protection
責,responsibility
項,item
衛,guard
圖,Figure
亂,Chaos
劉,Liu
爺,Grandfather
龍,Dragon
錯,wrong
創,Invasive
樹,tree
靈,spirit
職,Job
鄉,township
細,fine
訴,V.
態,state
筆,pen
塊,Piece
質,quality
灣,Bay
韋,Wei
圍,Wai
靜,Quiet
園,garden
輯,Series
夠,enough
賽,Match
較,More
樓,floor
孫,Sun
詩,poetry
敵,enemy
試,test
謝,thank
懷,Pregnant
顧,Gu
驗,Test
營,camp
養,support
麗,Korea
屬,Genus
惡,evil
維,dimension
漸,gradually
勝,Win
異,different
負,negative
銀,silver
陣,Array
層,Floor
織,Weaving
藥,medicine
館,Pavilion
習,Learning
簡,simple
歸,Return
換,change
絲,wire
勞,labor
婦,woman
評,Comment
絡,Network
環,ring
禮,ceremony
壓,Pressure
獎,prize
趕,Hurry
蘭,Blue
錄,record
畫,painting
頓,pause
藝,art
億,Billion
繼,Following
優,excellent
險,risk
階,Floor
擔,Bear
訪,visit
討,discuss
臨,Pro
吳,Wu
搖,shake
練,practice
構,Structure
廠,plant
協,Association
揮,Swing
齊,Qi
溫,temperature
紙,paper
頂,top
尋,Searching
寧,rather
賣,Sell
順,order
夢,dream
劇,drama
堅,Strong
雜,miscellaneous
貴,expensive
舊,old
積,product
縣,county
罷,stop
揚,Yang
脫,Take off
彈,bomb
鄧,Deng
鮮,fresh
畢,complete
歐,Europe
島,island
載,Load
敗,defeat
槍,gun
適,suitable
虛,Virtual
預,Pre
紛,Have
銷,pin
魚,fish
盤,plate
訊,News
趙,Zhao
燈,light
狀,shape
訂,Order
鎮,town
罵,curse
輸,lose
詞,word
淚,tears
財,fiscal
審,Review
牆,wall
聖,Holy
躍,jump
執,Hold
曉,dawn
橋,bridge
輩,generation
閃,flash
隱,hidden
勁,strength
鬧,Make trouble
監,Supervisor
